Group,Gender,Values
control,M,1
control,M,2
control,M,3
control,M,3
control,M,3
control,F,1
control,F,1
control,F,2
control,F,1
control,F,1
control,M,3
control,M,1
control,M,1
control,M,4
control,M,1
control,F,1
control,F,5
control,F,2
control,F,2
control,F,3
control,M,4
control,M,1
control,M,1
control,M,3
control,M,2
control,F,2
control,F,2
control,F,1
control,F,2
control,F,1
treatment,M,3
treatment,M,3
treatment,M,3
treatment,M,4
treatment,M,5
treatment,F,3
treatment,F,5
treatment,F,5
treatment,F,5
treatment,F,3
treatment,M,4
treatment,M,4
treatment,M,4
treatment,M,3
treatment,M,3
treatment,F,5
treatment,F,4
treatment,F,4
treatment,F,4
treatment,F,4
treatment,M,4
treatment,M,4
treatment,M,3
treatment,M,3
treatment,M,5
treatment,F,5
treatment,F,5
treatment,F,5
treatment,F,4
treatment,F,4
