subject,schoolAge10,schoolAge15,schoolAge20,workAge10,workAge15,workAge20
1,5,5,3,1,3,5
2,5,5,3,1,3,5
3,4,3,1,1,2,4
4,4,5,4,2,2,4
5,3,5,4,2,3,3
6,3,1,2,2,2,3
7,2,1,1,1,3,2
8,2,1,1,3,5,5
9,1,2,1,3,5,5
10,1,3,1,1,2,4
11,5,5,3,1,2,4
12,5,5,3,1,2,4
13,5,4,2,2,2,3
14,5,4,2,2,2,3
15,5,5,3,2,2,3
16,4,5,4,1,3,4
17,4,5,5,1,3,3
18,4,5,5,1,3,1
19,4,3,4,1,2,1
20,4,3,1,1,2,3
21,3,4,1,1,2,3
22,3,4,1,1,1,3
23,3,4,2,2,1,4
24,3,4,3,2,1,4
25,3,5,2,2,2,5
26,2,3,2,2,3,5
27,3,2,1,2,3,5
28,4,3,2,1,3,5
29,5,5,3,1,3,4
30,3,4,2,1,3,4
