environment,instruction,math
offline,classroom,50
offline,classroom,55
offline,classroom,70
offline,classroom,75
offline,classroom,85
offline,classroom,80
offline,classroom,90
offline,classroom,90
online,classroom,75
online,classroom,70
online,classroom,50
online,classroom,55
online,classroom,70
online,classroom,75
online,classroom,85
online,classroom,80
online,classroom,90
online,classroom,90
online,classroom,75
online,classroom,70
offline,tutor,70
offline,tutor,75
offline,tutor,80
offline,tutor,75
offline,tutor,80
offline,tutor,90
online,tutor,95
online,tutor,95
online,tutor,80
online,tutor,80
