DATE,CONSUME,PRICE,INC,TEMP
1,0.386,0.27,78,41
2,0.374,0.282,79,56
3,0.393,0.277,81,63
4,0.425,0.28,80,68
5,0.406,0.272,76,69
6,0.344,0.262,78,65
7,0.327,0.275,82,61
8,0.288,0.267,79,47
9,0.269,0.265,76,32
10,0.256,0.277,79,24
11,0.286,0.282,82,28
12,0.298,0.27,85,26
13,0.329,0.272,86,32
14,0.318,0.287,83,40
15,0.381,0.277,84,55
16,0.381,0.287,82,63
17,0.47,0.28,80,72
18,0.443,0.277,78,72
19,0.386,0.277,84,67
20,0.342,0.277,86,60
21,0.319,0.292,85,44
22,0.307,0.287,87,40
23,0.284,0.277,94,32
24,0.326,0.285,92,27
25,0.309,0.282,95,28
26,0.359,0.265,96,33
27,0.376,0.265,94,41
28,0.416,0.265,96,52
29,0.437,0.268,91,64
